Numeric,Numeric,Numeric,Numeric,Numeric,Numeric,Numeric,Numeric,Numeric,Numeric,Numeric,Numeric,Numeric,Numeric,Numeric,,
チャンネル開設日,動画の本数,投稿頻度(年),チャンネル登録者数,最高再生回数,総視聴回数,Instagram,Twitter,TikTok,サブチャン,メンバーシップ,事務所,性別,人数,芸能人,,
41414,1966,261.9,2410000,11788689,2027858458,5000,10000,28200,1,0,1,0,2,0,,
40738,2110,225.4,1560000,27575347,1025956129,142000,10000,7076,1,0,1,0,1,0,,
43340,712,319.2,2140000,8761803,831294290,333000,240238,175300,1,0,1,3,1,1,,
42522,1065,238.1,1240000,6837736,445379050,259000,338980,293200,1,0,1,1,1,0,,
41970,679,113.4,1680000,15070692,839969525,207000,10000,5000,1,0,1,0,2,0,,
42698,295,73.9,568000,5719996,123383348,206000,470571,302700,1,0,1,1,1,0,,
42776,326,86.3,644000,3533195,128892619,412000,285282,1400000,0,0,1,1,1,0,,
42126,591,106.3,525000,2278552,146619630,81000,65931,14800,0,0,1,1,1,0,,
42723,275,70.1,190000,1458010,26870365,113000,81537,201300,0,0,1,1,1,0,,
43453,511,263.4,618000,3779298,394525587,90000,99034,289400,1,0,1,3,9,0,,
41472,473,64.2,878000,29251578,271650969,552000,963507,962200,1,0,0,0,1,0,,
43929,33,53.5,219000,1294196,6783339,238000,10000,5000,0,0,1,0,1,1,,
43294,496,210.5,998000,2633436,212071615,165000,83165,643900,0,0,1,0,1,0,,
42386,475,98,810000,5550776,207593843,765000,682776,58200,1,0,1,1,1,1,,
43560,158,97,460000,1714486,57458488,5000,10000,20300,1,0,1,0,2,0,,
43120,453,159.9,679000,2437141,207876561,5000,74496,5000,0,0,1,1,3,0,,
43828,231,253.1,637000,1733047,78470975,151000,728668,456600,0,0,1,0,1,1,,
43889,137,183.8,689000,2929990,54797905,175000,1801914,267800,0,1,1,0,1,0,,
42674,105,25.8,635000,3067125,58493768,288000,754463,178200,0,0,1,1,1,0,,
42364,280,57,412000,7448719,116865776,124000,125881,15100,1,0,0,1,1,0,,
43048,345,113.8,1100000,6154963,234519141,243000,202079,200100,1,0,1,1,1,0,,
